0,0,2.341315,0.683445,0.0005
1,5,15.319512,0.601909,0.0004875
2,10,28.286726,0.496358,0.000475
3,15,41.278424,0.43161,0.0004625
4,20,54.288465,0.393079,0.00045
5,25,67.300385,0.364543,0.0004375
6,30,80.307169,0.342205,0.000425
7,35,93.265056,0.32345,0.0004125
8,40,106.281824,0.298343,0.0004
9,45,119.297442,0.248157,0.0003875
10,50,132.315483,0.223754,0.000375
11,55,145.311069,0.208699,0.0003625
12,60,158.304081,0.19536,0.00035
13,65,171.336031,0.185007,0.0003375
14,70,184.330813,0.17653,0.000325
15,75,197.332614,0.169836,0.0003125
16,80,210.336994,0.164166,0.0003
17,85,223.346277,0.159224,0.0002875
18,90,236.344252,0.155391,0.000275
19,95,249.336272,0.152093,0.0002625
20,100,262.40813,0.149301,0.00025
21,105,275.39967,0.146304,0.0002375
22,110,288.404152,0.14342,0.000225
23,115,301.417817,0.140806,0.0002125
24,120,314.412889,0.138635,0.0002
25,125,327.429256,0.137333,0.0001875
26,130,340.391999,0.135894,0.000175
27,135,353.487582,0.134346,0.0001625
28,140,366.541862,0.132733,0.00015
29,145,379.502043,0.131386,0.0001375
30,150,392.527668,0.130398,0.000125
31,155,405.502261,0.129922,0.0001125
32,160,418.51501,0.129415,0.0001
33,165,431.514318,0.128388,8.75e-05
34,170,444.502763,0.127481,7.5e-05
35,175,457.483209,0.126794,6.25e-05
36,180,470.453961,0.126372,5e-05
37,185,483.427567,0.126351,3.75e-05
38,190,496.438797,0.126216,2.5e-05
39,195,509.421037,0.125673,1.25e-05
40,200,519.084924,0.126869,
